sample_id,x,y,label,split
0,0.465267975102,-0.611979075845,1,train
1,0.213536580236,0.807023414630,1,train
2,-0.372485783736,0.040135455531,0,train
3,0.149148603458,-0.274584574038,0,train
4,0.476169894517,0.751190349742,1,train
5,0.064843073962,-0.713801524933,1,train
6,-0.168213869898,-0.365050431731,0,train
7,-0.056026757177,-0.262918757377,0,train
8,-0.120285737882,-0.327207395351,0,train
9,0.080394580382,0.766177550440,1,train
10,0.391175896259,0.037198927769,0,train
11,-0.282574792976,0.726646142867,1,train
12,0.191205387760,0.301533684100,0,train
13,0.291399925043,-0.192357213618,0,train
14,-0.239740123612,-0.005582351295,0,train
15,0.203085193713,-0.378781060695,0,train
16,0.680039178865,0.415896589981,1,train
17,0.294517459857,-0.841268030503,1,train
18,0.469995704271,-0.635562493030,1,train
19,0.849969359209,0.083820168094,1,train
20,0.277086559540,0.695512861247,1,train
21,-0.156613472687,-0.225374081746,0,train
22,-0.115147643324,0.895436720055,1,train
23,-0.198964190205,0.776972010568,1,train
24,0.228593615572,-0.329175023716,0,train
25,-0.501568619051,-0.564778345860,1,train
26,-0.748402070837,0.246589309852,1,train
27,-0.699612509683,-0.121757825187,1,train
28,-0.768653505040,-0.417910128626,1,train
29,-0.088841573264,0.328573212257,0,train
30,-0.676675792003,0.295619357910,1,train
31,0.328656140576,-0.143872404730,0,train
32,0.349158146385,-0.108911082122,0,train
33,0.729495824728,0.270844817423,1,train
34,0.167900837602,0.181381695991,0,train
35,-0.089006171243,0.268740438442,0,train
36,-0.782574375183,0.225681352442,1,train
37,-0.016127964023,0.772128881179,1,train
38,-0.514988759704,0.740550076527,1,train
39,0.234157817420,0.026920081288,0,train
40,-0.321863427259,-0.606245355095,1,train
41,0.344063029118,0.238156497999,0,train
42,0.348049678918,0.081224279759,0,train
43,0.019259653322,0.401952067956,0,train
44,-0.078246103529,-0.337700695969,0,train
45,-0.423818824346,0.589953833189,1,train
46,-0.007008957222,-0.290451572856,0,train
47,-0.317292666956,-0.036392824983,0,train
48,-0.692410294480,0.553820245926,1,train
49,0.376285828391,0.165394999285,0,train
50,-0.314690598283,0.704671013373,1,train
51,-0.151271754630,-0.752936290963,1,train
52,0.325729454570,0.138179092280,0,train
53,-0.435833789658,0.256931761385,0,train
54,0.109752305192,0.351089274827,0,train
55,0.427520931071,-0.076799487425,0,train
56,0.325163318833,-0.664512824540,1,train
57,-0.212661764023,-0.894079428769,1,train
58,0.210293306883,-0.211767509929,0,train
59,-0.650938216449,0.481515287192,1,train
60,-0.606848344158,0.546895985850,1,train
61,-0.317681600151,0.067269566244,0,train
62,0.148190823094,-0.282728732211,0,train
63,0.558302049240,0.567262307216,1,train
64,-0.103235709091,0.308124672819,0,train
65,0.494939382511,0.648760409637,1,train
66,-0.696109883850,0.262013632998,1,train
67,-0.642499034261,-0.344640061496,1,train
68,0.681400100980,0.397834056425,1,train
69,0.564441695360,0.482836220124,1,train
70,-0.006818020654,-0.233463992485,0,train
71,0.346187168998,-0.139513686937,0,train
72,0.353976547128,0.167030723279,0,train
73,-0.704360830728,0.116562094728,1,train
74,-0.749114435509,0.238876871765,1,train
75,0.281077344213,0.234316208581,0,train
76,-0.446785207777,-0.768958634971,1,train
77,0.257626762059,-0.261880156706,0,train
78,0.858637147971,-0.032562741055,1,train
79,0.079511420795,-0.380647956929,0,train
80,0.474657836421,-0.579607376675,1,train
